,id,sessionDate,ftMade,ftAttempted,locationName
0,10,2020-08-08,91,107,"Barrington Hills, Park"
1,11,2020-08-12,15,20,"South Barrington, Home"
2,12,2020-08-23,19,25,"South Barrington, Home"
3,13,2020-08-24,40,50,"South Barrington, Home"
4,14,2020-11-26,18,20,"South Barrington, Home"
5,15,2020-12-04,15,20,"South Barrington, Home"
6,16,2020-12-05,35,41,"South Barrington, Home"
7,17,2020-12-07,25,35,"South Barrington, Home"
8,18,2020-12-09,15,20,"South Barrington, Home"
9,19,2020-12-13,30,34,"South Barrington, Home"
10,20,2020-12-17,20,25,"South Barrington, Home"
11,21,2020-12-18,16,23,"South Barrington, Home"
12,22,2020-12-19,74,94,"South Barrington, Home"
13,23,2020-12-22,9,12,"South Barrington, Home"
14,24,2020-12-27,64,80,"South Barrington, Home"
15,25,2021-01-02,10,12,"South Barrington, Home"
16,26,2021-01-09,11,13,"South Barrington, Home"
17,27,2021-02-06,11,12,"Madison, Nic Center"
18,28,2021-02-10,32,38,"Madison, Nic Center"
19,29,2021-02-14,12,15,"Madison, Nic Center"
20,30,2021-02-20,67,77,"Madison, Nic Center"
21,31,2021-02-22,62,74,"Madison, Nic Center"
22,32,2021-03-09,19,30,"South Barrington, Home"
23,33,2021-04-01,12,13,"Madison, Nic Center"
24,34,2021-04-14,17,20,"Madison, Nic Center"
25,35,2021-05-08,40,48,"South Barrington, Home"
26,36,2021-05-09,31,43,"South Barrington, Home"
27,37,2021-05-23,44,54,"South Barrington, Home"
28,38,2021-05-24,27,36,"South Barrington, Home"
29,39,2021-06-01,15,20,"South Barrington, Home"
30,40,2021-06-20,21,22,"South Barrington, Home"
31,41,2021-07-08,29,33,"South Barrington, Home"
32,42,2021-07-12,36,40,"South Barrington, Home"
33,43,2021-07-14,23,25,"South Barrington, Home"
34,44,2021-09-06,33,40,"Madison, Kohl Center"
35,45,2021-09-22,29,44,"Madison, Kohl Center"
36,46,2021-11-13,29,35,"Madison, Nic Center"
37,47,2022-01-28,26,40,"Madison, Nic Center"
38,48,2022-02-12,44,51,"Madison, Nic Center"
39,49,2022-02-14,6,11,"Madison, Nic Center"
40,50,2022-06-06,18,20,"Stevens Point, Park"
41,51,2022-11-13,12,20,"Madison, Nic Center"
42,52,2023-02-18,16,20,"Madison, Nic Center"
43,53,2023-06-23,31,41,"Deerfield, Discover Hotel"
44,9,2023-09-11,29,41,"Madison, Nic Center"
45,54,2023-09-11,29,41,"Madison, Nic Center"
46,55,2023-09-16,12,14,"Madison, Nic Center"
47,8,2023-09-19,11,16,"Madison, Nic Center"
48,56,2023-09-19,11,16,"Madison, Nic Center"
49,7,2023-09-25,9,11,"Madison, Nic Center"
50,57,2023-09-25,9,11,"Madison, Nic Center"
51,6,2023-12-12,13,16,"Madison, Nic Center"
52,58,2023-12-12,13,16,"Madison, Nic Center"
53,59,2024-02-24,15,20,"Munnar, India"
54,61,2024-04-14,36,40,"South Barrington, Home"
55,62,2024-04-15,19,27,"South Barrington, Home"
